benchmark_tag,best_fixed_success,episode_seed,family,git_commit,keep_collision_free,keep_completion_time,keep_deadlock,keep_goal_reached,keep_irreversible_collapse,keep_success,keep_time_in_formation_tube,layout_id,line_collision_free,line_completion_time,line_deadlock,line_goal_reached,line_irreversible_collapse,line_success,line_time_in_formation_tube,oracle_collision_free,oracle_completion_time,oracle_deadlock,oracle_goal_reached,oracle_irreversible_collapse,oracle_success,oracle_switches,oracle_time_in_formation_tube,split_collision_free,split_completion_time,split_deadlock,split_goal_reached,split_irreversible_collapse,split_success,split_time_in_formation_tube,switch_necessity,team_size
method-audit-v2-complete,1.0,20000402,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.15,0.0,1.0,0.0,1.0,0.8641975308641975,val_keep_open_002,1.0,14.85,0.0,1.0,0.0,1.0,0.9292929292929293,1.0,12.15,0.0,1.0,0.0,1.0,0,0.8641975308641975,1.0,11.7,0.0,1.0,0.0,0.0,0.24358974358974358,0,4
method-audit-v2-complete,1.0,20000403,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.15,0.0,1.0,0.0,1.0,0.8641975308641975,val_keep_open_002,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9215686274509803,1.0,11.85,0.0,1.0,0.0,1.0,4,0.6329113924050633,1.0,11.7,0.0,1.0,0.0,0.0,0.23076923076923078,0,4
method-audit-v2-complete,1.0,20000600,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_002,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9108910891089109,1.0,12.75,0.0,1.0,0.0,1.0,2,0.7058823529411765,1.0,11.7,0.0,1.0,0.0,0.0,0.24358974358974358,0,6
method-audit-v2-complete,1.0,20000601,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_002,1.0,15.149999999999999,0.0,1.0,0.0,1.0,0.9108910891089109,1.0,12.75,0.0,1.0,0.0,1.0,2,0.7058823529411765,1.0,11.85,0.0,1.0,0.0,0.0,0.24050632911392406,0,6
method-audit-v2-complete,1.0,20000602,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_002,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9019607843137255,1.0,12.75,0.0,1.0,0.0,1.0,2,0.7058823529411765,1.0,11.85,0.0,1.0,0.0,0.0,0.24050632911392406,0,6
method-audit-v2-complete,1.0,20000603,keep_open,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,12.6,0.0,1.0,0.0,1.0,0.8333333333333334,val_keep_open_002,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9019607843137255,1.0,12.9,0.0,1.0,0.0,1.0,2,0.7093023255813954,1.0,11.85,0.0,1.0,0.0,0.0,0.24050632911392406,0,6
method-audit-v2-complete,1.0,20000400,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,15.6,0.0,1.0,0.0,1.0,0.8942307692307693,val_line_corridor_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9326923076923077,1.0,15.6,0.0,1.0,0.0,1.0,0,0.8942307692307693,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000401,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,15.45,0.0,1.0,0.0,1.0,0.8932038834951457,val_line_corridor_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9238095238095239,1.0,15.45,0.0,1.0,0.0,1.0,0,0.8932038834951457,1.0,nan,1.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000402,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,15.45,0.0,1.0,0.0,1.0,0.8932038834951457,val_line_corridor_001,1.0,15.299999999999999,0.0,1.0,0.0,1.0,0.9313725490196079,1.0,15.45,0.0,1.0,0.0,1.0,0,0.8932038834951457,1.0,nan,1.0,0.0,1.0,0.0,0.15833333333333333,0,4
method-audit-v2-complete,1.0,20000403,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,0.0,16.05,0.0,1.0,0.0,0.0,0.897196261682243,val_line_corridor_001,1.0,15.75,0.0,1.0,0.0,1.0,0.9238095238095239,1.0,16.95,0.0,1.0,0.0,1.0,3,0.8230088495575221,1.0,nan,0.0,0.0,1.0,0.0,0.15,0,4
method-audit-v2-complete,1.0,20000600,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9134615384615384,1.0,nan,0.0,0.0,0.0,0.0,2,0.25,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
method-audit-v2-complete,1.0,20000601,line_corridor,6bc20bc3f69270f8eded07247c7f6c7fea163c65,1.0,nan,0.0,0.0,0.0,0.0,0.36666666666666664,val_line_corridor_001,1.0,15.6,0.0,1.0,0.0,1.0,0.9134615384615384,1.0,nan,0.0,0.0,0.0,0.0,2,0.24166666666666667,1.0,nan,0.0,0.0,1.0,0.0,0.15833333333333333,0,6
